year,president,party,filename,word_count
1950,Harry S. Truman,Democrat,1950_harry_s_truman_d.txt,5126
1951,Harry S. Truman,Democrat,1951_harry_s_truman_d.txt,3988
1952,Harry S. Truman,Democrat,1952_harry_s_truman_d.txt,5334
1953,Harry S. Truman,Democrat,1953_harry_s_truman_d.txt,9599
1953,Dwight D. Eisenhower,Republican,1953_dwight_d_eisenhower_r.txt,6941
1954,Dwight D. Eisenhower,Republican,1954_dwight_d_eisenhower_r.txt,5990
1955,Dwight D. Eisenhower,Republican,1955_dwight_d_eisenhower_r.txt,7250
1956,Dwight D. Eisenhower,Republican,1956_dwight_d_eisenhower_r.txt,8245
1957,Dwight D. Eisenhower,Republican,1957_dwight_d_eisenhower_r.txt,4145
1958,Dwight D. Eisenhower,Republican,1958_dwight_d_eisenhower_r.txt,4927
1959,Dwight D. Eisenhower,Republican,1959_dwight_d_eisenhower_r.txt,4889
1960,Dwight D. Eisenhower,Republican,1960_dwight_d_eisenhower_r.txt,5648
1961,Dwight D. Eisenhower,Republican,1961_dwight_d_eisenhower_r.txt,6188
1961,John F. Kennedy,Democrat,1961_john_f_kennedy_d.txt,5165
1962,John F. Kennedy,Democrat,1962_john_f_kennedy_d.txt,6436
1963,John F. Kennedy,Democrat,1963_john_f_kennedy_d.txt,5326
1964,Lyndon B. Johnson,Democrat,1964_lyndon_b_johnson_d.txt,3187
1965,Lyndon B. Johnson,Democrat,1965_lyndon_b_johnson_d.txt,4394
1966,Lyndon B. Johnson,Democrat,1966_lyndon_b_johnson_d.txt,5255
1967,Lyndon B. Johnson,Democrat,1967_lyndon_b_johnson_d.txt,7111
1968,Lyndon B. Johnson,Democrat,1968_lyndon_b_johnson_d.txt,4855
1969,Lyndon B. Johnson,Democrat,1969_lyndon_b_johnson_d.txt,4107
1970,Richard Nixon,Republican,1970_richard_nixon_r.txt,4455
1971,Richard Nixon,Republican,1971_richard_nixon_r.txt,4475
1972,Richard Nixon,Republican,1972_richard_nixon_r.txt,3967
1973,Richard Nixon,Republican,1973_richard_nixon_r.txt,1649
1974,Richard Nixon,Republican,1974_richard_nixon_r.txt,5154
1975,Gerald R. Ford,Republican,1975_gerald_r_ford_r.txt,4103
1976,Gerald R. Ford,Republican,1976_gerald_r_ford_r.txt,4951
1977,Gerald R. Ford,Republican,1977_gerald_r_ford_r.txt,4640
1978,Jimmy Carter,Democrat,1978_jimmy_carter_d.txt,4580
1979,Jimmy Carter,Democrat,1979_jimmy_carter_d.txt,3243
1980,Jimmy Carter,Democrat,1980_jimmy_carter_d.txt,3396
1981,Jimmy Carter,Democrat,1981_jimmy_carter_d.txt,33558
1982,Ronald Reagan,Republican,1982_ronald_reagan_r.txt,5161
1983,Ronald Reagan,Republican,1983_ronald_reagan_r.txt,5536
1984,Ronald Reagan,Republican,1984_ronald_reagan_r.txt,4944
1985,Ronald Reagan,Republican,1985_ronald_reagan_r.txt,4213
1986,Ronald Reagan,Republican,1986_ronald_reagan_r.txt,3473
1987,Ronald Reagan,Republican,1987_ronald_reagan_r.txt,3770
1988,Ronald Reagan,Republican,1988_ronald_reagan_r.txt,4826
1989,George H.W. Bush,Republican,1989_george_bush_r.txt,4821
1990,George H.W. Bush,Republican,1990_george_bush_r.txt,3811
1991,George H.W. Bush,Republican,1991_george_bush_r.txt,3968
1992,George H.W. Bush,Republican,1992_george_bush_r.txt,5082
1993,Bill Clinton,Democrat,1993_william_j_clinton_d.txt,6999
1994,Bill Clinton,Democrat,1994_william_j_clinton_d.txt,7378
1995,Bill Clinton,Democrat,1995_william_j_clinton_d.txt,9173
1996,Bill Clinton,Democrat,1996_william_j_clinton_d.txt,6328
1997,Bill Clinton,Democrat,1997_william_j_clinton_d.txt,6749
1998,Bill Clinton,Democrat,1998_william_j_clinton_d.txt,7277
1999,Bill Clinton,Democrat,1999_william_j_clinton_d.txt,7475
2000,Bill Clinton,Democrat,2000_william_j_clinton_d.txt,9052
2001,George W. Bush,Republican,2001_george_w_bush_r.txt,4362
2002,George W. Bush,Republican,2002_george_w_bush_r.txt,3825
2003,George W. Bush,Republican,2003_george_w_bush_r.txt,5368
2004,George W. Bush,Republican,2004_george_w_bush_r.txt,5167
2005,George W. Bush,Republican,2005_george_w_bush_r.txt,5045
2006,George W. Bush,Republican,2006_george_w_bush_r.txt,5287
2007,George W. Bush,Republican,2007_george_w_bush_r.txt,5552
2008,George W. Bush,Republican,2008_george_w_bush_r.txt,5704
2009,Barack Obama,Democrat,2009_barack_obama_d.txt,6053
2010,Barack Obama,Democrat,2010_barack_obama_d.txt,7221
2011,Barack Obama,Democrat,2011_barack_obama_d.txt,6867
2012,Barack Obama,Democrat,2012_barack_obama_d.txt,7026
2013,Barack Obama,Democrat,2013_barack_obama_d.txt,6783
2014,Barack Obama,Democrat,2014_barack_obama_d.txt,6987
2015,Barack Obama,Democrat,2015_barack_obama_d.txt,6568
2016,Barack Obama,Democrat,2016_barack_obama_d.txt,6025
2017,Donald J. Trump,Republican,2017_donald_j_trump_r.txt,4903
2018,Donald J. Trump,Republican,2018_donald_j_trump_r.txt,5862
2019,Donald J. Trump,Republican,2019_donald_j_trump_r.txt,5249
2020,Donald J. Trump,Republican,2020_donald_j_trump_r.txt,5917
2021,Joseph R. Biden,Democrat,2021_joseph_r_biden_d.txt,8037
2022,Joseph R. Biden,Democrat,2022_joseph_r_biden_d.txt,7941
2023,Joseph R. Biden,Democrat,2023_joseph_r_biden_d.txt,9509
2024,Joseph R. Biden,Democrat,2024_joseph_r_biden_d.txt,8538
2025,Donald J. Trump,Republican,2025_donald_j_trump_r.txt,10717
2026,Donald J. Trump,Republican,2026_donald_j_trump_r.txt,10658
